Chemin,Nom,Taille,Lignes,Modifié,Type
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/completer_vues.py,completer_vues.py,11528,309,2025-09-30T15:29:26,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/corrections_finales_mutuelle.py,corrections_finales_mutuelle.py,10975,288,2025-09-30T14:00:43,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/repair.py,repair.py,3962,115,2025-12-05T06:53:13,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/fix_final_historique.py,fix_final_historique.py,4661,116,2025-12-01T19:18:49,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyze_project2.py,analyze_project2.py,18426,451,2025-10-18T08:15:26,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_template.py,correction_template.py,3792,101,2025-11-06T11:28:10,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyse_assureur.py,analyse_assureur.py,17771,437,2025-11-17T15:34:35,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/affecter_verifications_manquantes.py,affecter_verifications_manquantes.py,162,4,2025-11-30T19:37:41,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_acces_temps_reel.py,test_acces_temps_reel.py,3441,98,2025-11-28T18:19:56,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/dashboard_quick_fix.py,dashboard_quick_fix.py,701,23,2025-10-24T13:24:35,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/fix_all_templates.py,fix_all_templates.py,1666,54,2025-12-02T17:03:28,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_choix_membre.py,diagnostic_choix_membre.py,1048,28,2025-11-28T09:17:22,.py
